NR Palety;Item Desc;EAN;ASIN;LPN;Unit Retail;WARTOŚĆ;;SUMA;Odbiorca:;Restock;18,00%;;;DEPARTMENT;GL DESCRIPTION;CategoryCode;CATEGORY;SubcatCode;SUBCATEGORY
16742813;PokĂ©mon Scarlatto e Violetto Elite Trainer Set â€” 151 di GCC (nove pacchetti di espansione e accessori premium), edizione italiana;8,20651E+11;B0C8NSGN2H;LPNHE811267512;50,73;50,73;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100302;Travel Games
16742813;Baby Einstein, Sea Dreams Soother Schlummerlicht fĂĽr Das Gitterbett mit Fernbedienung, Lichtern und Melodien;74451110588;B07DM86Z43;LPNRP017861645;49,99;49,99;;;;;;;;Baby Product;gl_baby_product;7506500;Gifts, Decor & All Other;7506560;Infant Toys
16742813;Baby Einstein, Sea Dreams Soother Schlummerlicht fĂĽr Das Gitterbett mit Fernbedienung, Lichtern und Melodien;74451110588;B07DM86Z43;LPNHE848296938;49,99;49,99;;;;;;;;Baby Product;gl_baby_product;7506500;Gifts, Decor & All Other;7506560;Infant Toys
90029481807;2,4GHz Mario Kartâ„˘ Pipe Kart, Peach, L;9,00315E+12;B0BQYTXDKR;LPNHE941200460;49,99;49,99;;;;;;;;Toy;gl_toy;2100600;Infants/Preschool;2100601;All Other Infant Toys
90029521188;Wizarding World, Harry Potter, MuĂ±eco de elfo interactivo Magical Dobby de 21,6 cm con calcetĂ­n y mĂˇs de 30 sonidos y frases, Juguetes para niĂ±os y niĂ±as a partir de 6 aĂ±os;7,78988E+11;B0BRQXGWKH;LPNWE290241923;49,97;49,97;;;;;;;;Toy;gl_toy;2100100;Dolls;2100110;Fashion Dolls
16742257;Solido 1:18 Porsche 911 3.2 orange Modellauto Modellfahrzeug;3,66351E+12;B0BTDWZTM5;LPNHE840974931;48,84;48,84;;;;;;;;Toy;gl_toy;2100400;Vehicles;2100412;Non-Powered Trucks
16742257;YCOO - Pack 2 Roboter Kombat Boxer Fernbedienung - Umweltfreundliche Verpackung, Einfach Auspacken - VorwĂ¤rts Und Schlagen Sie die Gegner, um es auf den Boden zu Legen - Spielzeug 5,6,7,8,9,10 Jahre;4,89181E+12;B07KTX9GVL;LPNRP016596877;48,8;48,8;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2100801;Action Figures
90029521188;Magic: The Gathering Doctor Who Commander-Deckâ€Żâ€“ Paradoxon-Power (Deck mit 100â€ŻKarten, Sammler-Booster-Probepackung mit 2â€ŻKartenâ€Ż+ ZubehĂ¶r) (Deutsche Version);5,011E+12;B0C44K5KLN;LPNHK357910440;48,17;48,17;;;;;;;;Toy;gl_toy;2100300;Games & Puzzles;2100315;Card Games
16742813;Renegade Game Studios RGS09624 Brettspiel, Multicolor;9,78174E+12;1737496240;LPNHE823578366;48,14;48,14;;;;;;;;Toy;gl_toy;2101300;;2101305;
90029481807;Hatchimals Alive Mystery Ei Draggle - magisches selbstschlĂĽpfendes Ei ca. 25 cm groĂź mit interaktivem Ăśberraschungs-PlĂĽschtier, fĂĽr Kinder ab 5 Jahren;7,78988E+11;B0CSPMTYXC;LPNHE933842509;47,865;47,865;;;;;;;;Toy;gl_toy;2100800;Action Figures & Accessories;2100801;Action Figures
